team,arena,lat,long
ARI,University of Phoenix Stadium,33.52793,-112.26262
ATL,Georgia Dome,33.75734,-84.40118
BAL,M&T Bank Stadium,39.27811,-76.62277
BUF,Ralph Wilson Stadium,42.77328,-78.788
CAR,Bank of America Stadium,35.22558,-80.85352
CHI,Soldier Field,41.86479,-87.61569
CIN,Paul Brown Stadium,39.09559,-84.51542
CLE,Browns Stadium,41.50606,-81.69958
DAL,Cowboys Stadium,32.74758,-97.09331
DEN,Sports Authority Field,39.74419,-105.01772
DET,Ford Field,42.3399,-83.04588
GB,Lambeau Field,44.50131,-88.06178
HOU,Reliant Park,29.68525,-95.41032
IND,Lucas Oil Stadium,39.75999,-86.16371
JAC,EverBank Field,30.32411,-81.63737
KC,Arrowhead Stadium,39.0508,-94.48405
MIA,Sun Life Stadium,25.95853,-80.23844
MIN,Mall of America Field,44.97437,-93.25936
NE,Gillette Stadium,42.09138,-71.26432
NO,Mercedes-Benz Superdome,29.95156,-90.08065
NYG,MetLife Stadium,40.82421,-74.06369
NYJ,MetLife Stadium,40.81421,-74.07369
OAK,Oakland-Alameda County Coliseum,37.75675,-122.19305
PHI,Lincoln Financial Field,39.90073,-75.16753
PIT,Heinz Field,40.46027,-80.0118
SD,Qualcomm Stadium,32.78096,-117.1191
SEA,CenturyLink Field,47.59393,-122.33154
SF,Candlestick Park,37.71523,-122.38302
STL,Edward Jones Dome,38.63284,-90.18843
TB,Raymond James Stadium,27.97639,-82.5042
TEN,LP Field,36.16805,-86.77322
WAS,FedEx Field,38.90622,-76.86474
