team,arena,lat,long
ANA,Honda Center,33.80654,-117.87655
ATL,Philips Arena,33.7571,-84.39717
BOS,TD Garden,42.36635,-71.06193
BUF,First Niagara Center,43.08609,-79.06166
CGY,Scotiabank Saddledome,51.0374,-114.05201
CAR,PNC Arena,35.80334,-78.72194
CHI,United Center,41.88062,-87.67463
COL,Pepsi Center,39.74831,-105.00799
CBJ,Nationwide Arena,39.96934,-83.00626
DAL,American Airlines Center,32.7904,-96.81048
DET,Joe Louis Arena,42.32519,-83.05136
EDM,Rexall Place,53.57047,-113.45588
FLA,BankAtlantic Center,26.1597,-80.3259
HAR,XL Center,41.76823,-72.67683
HOU,Toyota Center,29.75082,-95.36215
KC,Sprint Center,39.09693,-94.58106
LA,Staples Center,34.04295,-118.26663
LV,MGM Grand Garden Arena,36.1012,-115.17243
MIL,BMO Harris Bradley Center,43.04295,-87.91608
MIN,Xcel Energy Center,44.9449,-93.10115
MON,Bell Centre,45.49672,-73.56788
NAS,Bridgestone Arena,36.15921,-86.7784
NJ,Prudential Center,40.733611,-74.171111
NYI,Nassau Coliseum,40.72307,-73.5907
NYR,Madison Square Garden,40.75069,-73.99353
ONT,New GTA Arena,43.8561,-79.33702
OTT,Scotiabank Place,45.29725,-75.92619
PHI,Wells Fargo Center,39.90106,-75.17194
PHO,Jobing.com Arena,33.53179,-112.26107
PIT,Consol Energy Center,40.4392,-79.98973
POR,Rose Garden,45.53272,-122.66728
QUE,Quebecor Arena,46.83193,-71.24761
SAS,Credit Union Centre,52.18912,-106.67915
SEA,Seattle New Arena in SoDo,47.59136,-122.33212
SJ,HP Pavilion,37.33251,-121.90119
STL,Scottrade Center,38.62692,-90.20249
TB,Tampa Bay Times Forum,27.94272,-82.45155
TOR,Air Canada Center,43.64318,-79.37996
VAN,Rogers Arena,49.27767,-123.1081
WAS,Verizon Center,38.89815,-77.02059
WPG,MTS Centre,49.89282,-97.1438
